source_path,source_filename,source_sha256,collection,canonical_filename,unit_type,top_level_unit,unit_identifier,document_title,topic_slug,destination_path,transformed_sha256,classification_evidence,status
03-09-aspect-cornell-notes.tex,03-09-aspect-cornell-notes.tex,434f67505c2fa242a7915a69732b3b7e488f87c906af647284c2f5582260c16c,iso,03-09-aspect-cornell-notes.tex,Clause,03,03.09,Aspect,03-aspect,src/cornell-notes/architecture/standards/iso-iec-ieee-42010-2022/clauses/03-aspect/03-09-aspect-cornell-notes.tex,a97da32b19ec3d0461c12d597edb923b61b628f88e740464871501d1e80131be,ISO-specific CNavy/CLight Cornell template,installed
03-10-concern-cornell-notes.tex,03-10-concern-cornell-notes.tex,8eb033d16e686192c15171de01310b057d8dea71c0637b35da32f03ad4818712,iso,03-10-concern-cornell-notes.tex,Clause,03,03.10,Concern,03-concern,src/cornell-notes/architecture/standards/iso-iec-ieee-42010-2022/clauses/03-concern/03-10-concern-cornell-notes.tex,3b4243c80b48e9030782409aa96dc4ad13da5f3366dd41ce6d0df2c652161580,ISO-specific CNavy/CLight Cornell template,installed
03-11-correspondence-cornell-notes.tex,03-11-correspondence-cornell-notes.tex,ac907c8c38cf3ac4d1fd1ce04d296dfce65868e325c93dd431d4e9ce65deb1ac,iso,03-11-correspondence-cornell-notes.tex,Clause,03,03.11,Correspondence,03-correspondence,src/cornell-notes/architecture/standards/iso-iec-ieee-42010-2022/clauses/03-correspondence/03-11-correspondence-cornell-notes.tex,211bed9dc56816e73e3921a1b5e74e71e4edbbdf2307539657dd8d07138ca495,ISO-specific CNavy/CLight Cornell template,installed
03-12-entity-of-interest-cornell-notes.tex,03-12-entity-of-interest-cornell-notes.tex,142d6d9cc9c764b5dd195bc25a29b890827b3eb032f79a682bdae166d3111022,iso,03-12-entity-of-interest-cornell-notes.tex,Clause,03,03.12,Entity Of Interest,03-entity-of-interest,src/cornell-notes/architecture/standards/iso-iec-ieee-42010-2022/clauses/03-entity-of-interest/03-12-entity-of-interest-cornell-notes.tex,fa9457f615168adf1bc0f00e5c2a4ecbb91c6fe5febbd14c0fdeae3b61690662,ISO-specific CNavy/CLight Cornell template,installed
03-13-environment-cornell-notes.tex,03-13-environment-cornell-notes.tex,fe54be5ace731b3274c8e8d882cf6ef95859ac66cefedbd4cdc7f1c559d7944e,iso,03-13-environment-cornell-notes.tex,Clause,03,03.13,Environment,03-environment,src/cornell-notes/architecture/standards/iso-iec-ieee-42010-2022/clauses/03-environment/03-13-environment-cornell-notes.tex,d04cce111a79cff597acf6567cac4842713f697b9b278e4acd2a971afc9dd578,ISO-specific CNavy/CLight Cornell template,installed
03-14-information-part-cornell-notes.tex,03-14-information-part-cornell-notes.tex,e2eee5f0b6be7c511349ad0663f7eca3c1fbecdac3c9e40f770254d448452a2a,iso,03-14-information-part-cornell-notes.tex,Clause,03,03.14,Information Part,03-information-part,src/cornell-notes/architecture/standards/iso-iec-ieee-42010-2022/clauses/03-information-part/03-14-information-part-cornell-notes.tex,3e5cbdb70b5847763e898b39c7a1a8935ef7501e2402b809c2941a97d5b71387,ISO-specific CNavy/CLight Cornell template,installed
03-15-model-kind-cornell-notes.tex,03-15-model-kind-cornell-notes.tex,779e246ba6a85dbb2af886d63355b1c53db4e0905aa88125450735d0d20d70a5,iso,03-15-model-kind-cornell-notes.tex,Clause,03,03.15,Model Kind,03-model-kind,src/cornell-notes/architecture/standards/iso-iec-ieee-42010-2022/clauses/03-model-kind/03-15-model-kind-cornell-notes.tex,53ae611cc27253aa55e6f9b17b1692cad7791aad873522107ea355a0871a89f7,ISO-specific CNavy/CLight Cornell template,installed
03-16-specification-cornell-notes.tex,03-16-specification-cornell-notes.tex,1197a1000548f996f5fc91ab80aeffc009bc89805032bd29a810e9dd32390686,iso,03-16-specification-cornell-notes.tex,Clause,03,03.16,Specification,03-specification,src/cornell-notes/architecture/standards/iso-iec-ieee-42010-2022/clauses/03-specification/03-16-specification-cornell-notes.tex,ad5dd828329b08d7984a7adb6b30ac3a23ecc0e82420c004e83a7966206baedb,ISO-specific CNavy/CLight Cornell template,installed
03-17-stakeholder-cornell-notes.tex,03-17-stakeholder-cornell-notes.tex,a08d77a100e0414f0f05cd536521fccc2413f2b95007f8fb63d8014962033f9f,iso,03-17-stakeholder-cornell-notes.tex,Clause,03,03.17,Stakeholder,03-stakeholder,src/cornell-notes/architecture/standards/iso-iec-ieee-42010-2022/clauses/03-stakeholder/03-17-stakeholder-cornell-notes.tex,bc446606cb09f9d5ecad5814497a40d2d7405df8506c4548f7a4ebcd16e9c354,ISO-specific CNavy/CLight Cornell template,installed
03-18-stakeholder-perspective-cornell-notes.tex,03-18-stakeholder-perspective-cornell-notes.tex,7af987f965036916a6061197ef2dc52f9e7a140348bf2b483abad2667bbe8ae0,iso,03-18-stakeholder-perspective-cornell-notes.tex,Clause,03,03.18,Stakeholder Perspective,03-stakeholder-perspective,src/cornell-notes/architecture/standards/iso-iec-ieee-42010-2022/clauses/03-stakeholder-perspective/03-18-stakeholder-perspective-cornell-notes.tex,3969d1e28b842cf4b6716d373b802d911cae382a07685dc6210e822bc2041475,ISO-specific CNavy/CLight Cornell template,installed
03-19-view-component-cornell-notes.tex,03-19-view-component-cornell-notes.tex,68c4a0a0036dc5a322ccce630e32e42b610344c20be1bbd8379c8df2beb87abd,iso,03-19-view-component-cornell-notes.tex,Clause,03,03.19,View Component,03-view-component,src/cornell-notes/architecture/standards/iso-iec-ieee-42010-2022/clauses/03-view-component/03-19-view-component-cornell-notes.tex,050a4fdc412de0b4a4746453fcf94b5ea25d5f3756221fd2864c183b3f8e9e5f,ISO-specific CNavy/CLight Cornell template,installed
03-terms-and-definitions-cornell-notes.tex,03-terms-and-definitions-cornell-notes.tex,f15f763a0380fae8095f935c771313204630c0e561034af0b6f071e23d4c0315,iso,03-terms-and-definitions-cornell-notes.tex,Clause,03,03,Terms And Definitions,03-terms-and-definitions,src/cornell-notes/architecture/standards/iso-iec-ieee-42010-2022/clauses/03-terms-and-definitions/03-terms-and-definitions-cornell-notes.tex,8613d1a41ba99e7cf312d527f52612da8baf7722ee2a3714df402b92eb023766,ISO-specific CNavy/CLight Cornell template,installed
04-conformance-cornell-notes.tex,04-conformance-cornell-notes.tex,32c801cc8237d00610f6a7e997e4bf747b6f33eb890705d8ca412eb2dde6696c,iso,04-conformance-cornell-notes.tex,Clause,04,04,Conformance,04-conformance,src/cornell-notes/architecture/standards/iso-iec-ieee-42010-2022/clauses/04-conformance/04-conformance-cornell-notes.tex,cb6838110360ad75013b3f173ebddaf02139c4d7981b6fc0487bfc0313154227,ISO-specific CNavy/CLight Cornell template,installed
05-01-general-cornell-notes.tex,05-01-general-cornell-notes.tex,e2bb49edb592985297766f3e89eb3a3d28531173bb034996b7a4c682d83588ef,iso,05-01-general-cornell-notes.tex,Clause,05,05.01,General,05-general,src/cornell-notes/architecture/standards/iso-iec-ieee-42010-2022/clauses/05-general/05-01-general-cornell-notes.tex,fbda85fa3baab52b663cff5c84331138e4f0e2f98acda1a52d3cb93ae4219bea,ISO-specific CNavy/CLight Cornell template,installed
05-02-01-context-of-architecture-description-cornell-notes.tex,05-02-01-context-of-architecture-description-cornell-notes.tex,5299b498123c383e46da28c19bb782bcb408ad60240a0fac24c11106783cc979,iso,05-02-01-context-of-architecture-description-cornell-notes.tex,Clause,05,05.02.01,Context Of Architecture Description,05-context-of-architecture-description,src/cornell-notes/architecture/standards/iso-iec-ieee-42010-2022/clauses/05-context-of-architecture-description/05-02-01-context-of-architecture-description-cornell-notes.tex,5d8029618f8e2bf04464c11ce67382bcd0840495178e0bf2339326c3abe27809,ISO-specific CNavy/CLight Cornell template,installed
05-02-02-architectures-and-architecture-descriptions-cornell-notes.tex,05-02-02-architectures-and-architecture-descriptions-cornell-notes.tex,bbb6c7e2698d88283583cf308c1316770c8aaa51483e7dff5df6eaf18be59cd4,iso,05-02-02-architectures-and-architecture-descriptions-cornell-notes.tex,Clause,05,05.02.02,Architectures And Architecture Descriptions,05-architectures-and-architecture-descriptions,src/cornell-notes/architecture/standards/iso-iec-ieee-42010-2022/clauses/05-architectures-and-architecture-descriptions/05-02-02-architectures-and-architecture-descriptions-cornell-notes.tex,10887ef3fe87c4353c8577f192b0c9b55078f7b9b959760b571334e572c308f5,ISO-specific CNavy/CLight Cornell template,installed
05-02-03-stakeholders-and-concerns-cornell-notes.tex,05-02-03-stakeholders-and-concerns-cornell-notes.tex,3a0e3a10c0030b883f6024945f9c546f7f2d5b943181739011e8f76d8f74f5fe,iso,05-02-03-stakeholders-and-concerns-cornell-notes.tex,Clause,05,05.02.03,Stakeholders And Concerns,05-stakeholders-and-concerns,src/cornell-notes/architecture/standards/iso-iec-ieee-42010-2022/clauses/05-stakeholders-and-concerns/05-02-03-stakeholders-and-concerns-cornell-notes.tex,dd241b716ec02999632083b2bf02e1fc80e11d4104feca0cae8f1617b3d3dd59,ISO-specific CNavy/CLight Cornell template,installed
05-02-04-stakeholder-perspectives-cornell-notes.tex,05-02-04-stakeholder-perspectives-cornell-notes.tex,69e735a794d3a9eaee006a32da4dcf9279234f3b147e14ac13d60cb5615426fa,iso,05-02-04-stakeholder-perspectives-cornell-notes.tex,Clause,05,05.02.04,Stakeholder Perspectives,05-stakeholder-perspectives,src/cornell-notes/architecture/standards/iso-iec-ieee-42010-2022/clauses/05-stakeholder-perspectives/05-02-04-stakeholder-perspectives-cornell-notes.tex,f3144ed2f92bd2bb48fb5c41dee8fca0506cea4283a1c17df42a5b2574f47045,ISO-specific CNavy/CLight Cornell template,installed
05-02-05-aspects-cornell-notes.tex,05-02-05-aspects-cornell-notes.tex,7dc497fdf75e9e1e3fe05054f796260e856a0d20a163d0cc84add5f96e4c6bed,iso,05-02-05-aspects-cornell-notes.tex,Clause,05,05.02.05,Aspects,05-aspects,src/cornell-notes/architecture/standards/iso-iec-ieee-42010-2022/clauses/05-aspects/05-02-05-aspects-cornell-notes.tex,fc9047b4c5d5fb8649a4e821c87ef1ca7210de3d294f80bd78c6790d53bed066,ISO-specific CNavy/CLight Cornell template,installed
05-02-06-architecture-considerations-cornell-notes.tex,05-02-06-architecture-considerations-cornell-notes.tex,86161b84440daf0d3ad19375db43462ededd5bb4c3f4b23b60ebe2505ebb80be,iso,05-02-06-architecture-considerations-cornell-notes.tex,Clause,05,05.02.06,Architecture Considerations,05-architecture-considerations,src/cornell-notes/architecture/standards/iso-iec-ieee-42010-2022/clauses/05-architecture-considerations/05-02-06-architecture-considerations-cornell-notes.tex,155b2a66a81ccd61d74550ebf72b91fa63b920e2905b94e3a511780d80f1bf05,ISO-specific CNavy/CLight Cornell template,installed
05-02-07-architecture-views-and-architecture-viewpoints-cornell-notes.tex,05-02-07-architecture-views-and-architecture-viewpoints-cornell-notes.tex,6bea67a5e6e59c85bff9c9959ed5be4719725ef4d4438d7cc74c7679b30b36f4,iso,05-02-07-architecture-views-and-architecture-viewpoints-cornell-notes.tex,Clause,05,05.02.07,Architecture Views And Architecture Viewpoints,05-architecture-views-and-architecture-viewpoints,src/cornell-notes/architecture/standards/iso-iec-ieee-42010-2022/clauses/05-architecture-views-and-architecture-viewpoints/05-02-07-architecture-views-and-architecture-viewpoints-cornell-notes.tex,c367c0e3b71d8899b41818813673f2f92858f1f8fd1271c138bcfd1f6a8d9c93,ISO-specific CNavy/CLight Cornell template,installed
05-02-08-model-kinds-legends-and-architecture-view-components-cornell-notes.tex,05-02-08-model-kinds-legends-and-architecture-view-components-cornell-notes.tex,5a69602be33eaff1157b12df9bef6feebcbd41083db2ee533d7c906cc554621d,iso,05-02-08-model-kinds-legends-and-architecture-view-components-cornell-notes.tex,Clause,05,05.02.08,Model Kinds Legends And Architecture View Components,05-model-kinds-legends-and-architecture-view-components,src/cornell-notes/architecture/standards/iso-iec-ieee-42010-2022/clauses/05-model-kinds-legends-and-architecture-view-components/05-02-08-model-kinds-legends-and-architecture-view-components-cornell-notes.tex,94e9ed1492360ea0915e854b00ca7e1fba5e2d53185f53e7ef6627bacdbcfac7,ISO-specific CNavy/CLight Cornell template,installed
05-02-09-architecture-description-ad-elements-cornell-notes.tex,05-02-09-architecture-description-ad-elements-cornell-notes.tex,211fe5f31a21e637ca60bc2165ca4b3a3769e2213f654f13495b022f0a300f56,iso,05-02-09-architecture-description-ad-elements-cornell-notes.tex,Clause,05,05.02.09,Architecture Description Ad Elements,05-architecture-description-ad-elements,src/cornell-notes/architecture/standards/iso-iec-ieee-42010-2022/clauses/05-architecture-description-ad-elements/05-02-09-architecture-description-ad-elements-cornell-notes.tex,c096c52753bef92c66c96aae1c57bf193e7f349d2a6b7a8b62d15cec0d830dcf,ISO-specific CNavy/CLight Cornell template,installed
05-02-10-view-methods-cornell-notes.tex,05-02-10-view-methods-cornell-notes.tex,b0b8ed6757bdb0c95ace6f2775e96047bc6f9a6d86f74ff3d5155c644a58f85d,iso,05-02-10-view-methods-cornell-notes.tex,Clause,05,05.02.10,View Methods,05-view-methods,src/cornell-notes/architecture/standards/iso-iec-ieee-42010-2022/clauses/05-view-methods/05-02-10-view-methods-cornell-notes.tex,0cec26a7a3b9e42836fdf3ec76de5c66fda12cee625170f0f7f2567733cb3ff2,ISO-specific CNavy/CLight Cornell template,installed
05-02-11-ad-element-correspondence-cornell-notes.tex,05-02-11-ad-element-correspondence-cornell-notes.tex,0423a601f0b53f7ca0a4e302564331d2a53ccbe645dcbd97839755e702cdf301,iso,05-02-11-ad-element-correspondence-cornell-notes.tex,Clause,05,05.02.11,Ad Element Correspondence,05-ad-element-correspondence,src/cornell-notes/architecture/standards/iso-iec-ieee-42010-2022/clauses/05-ad-element-correspondence/05-02-11-ad-element-correspondence-cornell-notes.tex,cf5b789b9b0ef89aee9c89e35c250f7ed4b80d7eff4db32cf5ba4071d2827bff,ISO-specific CNavy/CLight Cornell template,installed
05-02-12-architecture-decisions-and-rationale-cornell-notes.tex,05-02-12-architecture-decisions-and-rationale-cornell-notes.tex,e9ad84bf57c0564da41102f6b0a3d5b09fb7091a49b10862f8b9d70a38fd01e2,iso,05-02-12-architecture-decisions-and-rationale-cornell-notes.tex,Clause,05,05.02.12,Architecture Decisions And Rationale,05-architecture-decisions-and-rationale,src/cornell-notes/architecture/standards/iso-iec-ieee-42010-2022/clauses/05-architecture-decisions-and-rationale/05-02-12-architecture-decisions-and-rationale-cornell-notes.tex,4003b29f5481cca6cf1eb452467123cac3ccf5f1a7b67320cdd702d62d4a3eee,ISO-specific CNavy/CLight Cornell template,installed
05-03-architecture-description-in-the-life-cycle-cornell-notes.tex,05-03-architecture-description-in-the-life-cycle-cornell-notes.tex,54500c7b2159ee3399e33fedbebc275e187c4812a1efd17a9663091a2f7bfb80,iso,05-03-architecture-description-in-the-life-cycle-cornell-notes.tex,Clause,05,05.03,Architecture Description In The Life Cycle,05-architecture-description-in-the-life-cycle,src/cornell-notes/architecture/standards/iso-iec-ieee-42010-2022/clauses/05-architecture-description-in-the-life-cycle/05-03-architecture-description-in-the-life-cycle-cornell-notes.tex,f8ce8595a3849aa1e1b126ac958fe1fabd9b50cce7adce18f7914418cad8d18d,ISO-specific CNavy/CLight Cornell template,installed
05-04-01-general-cornell-notes.tex,05-04-01-general-cornell-notes.tex,e5374af5f2484008009388b584f66be8fce050e725619383b66fb8745fd1dd5b,iso,05-04-01-general-cornell-notes.tex,Clause,05,05.04.01,General,05-general,src/cornell-notes/architecture/standards/iso-iec-ieee-42010-2022/clauses/05-general/05-04-01-general-cornell-notes.tex,b149f30be76cdaa0996f2dd11378195c6b5d6d2c293b39a5ba3208964283466f,ISO-specific CNavy/CLight Cornell template,installed
05-04-02-architecture-description-frameworks-cornell-notes.tex,05-04-02-architecture-description-frameworks-cornell-notes.tex,083a1620c812d3307cf60ce68f3afca08d6b00b2688382b5269f1b5ff8cbc92a,iso,05-04-02-architecture-description-frameworks-cornell-notes.tex,Clause,05,05.04.02,Architecture Description Frameworks,05-architecture-description-frameworks,src/cornell-notes/architecture/standards/iso-iec-ieee-42010-2022/clauses/05-architecture-description-frameworks/05-04-02-architecture-description-frameworks-cornell-notes.tex,336ecf67f676024e530b86d447bcc3fdcd9c8072e3680e887e7f4552596bbb13,ISO-specific CNavy/CLight Cornell template,installed
05-04-03-adf-utilization-cornell-notes.tex,05-04-03-adf-utilization-cornell-notes.tex,896c8be61995fbd79078b380418a2463729adcb5b49d5ffaf5483b0f32323d08,iso,05-04-03-adf-utilization-cornell-notes.tex,Clause,05,05.04.03,Adf Utilization,05-adf-utilization,src/cornell-notes/architecture/standards/iso-iec-ieee-42010-2022/clauses/05-adf-utilization/05-04-03-adf-utilization-cornell-notes.tex,ccf201fb11f413eac23860d89d0936bb7c0f3dd17e33211085a6873f02ffb90f,ISO-specific CNavy/CLight Cornell template,installed
05-04-04-architecture-description-languages-cornell-notes.tex,05-04-04-architecture-description-languages-cornell-notes.tex,e40170b0ff4c0ac8c5c801a07cd3ca7cd21019080fd131a943685dface7695b3,iso,05-04-04-architecture-description-languages-cornell-notes.tex,Clause,05,05.04.04,Architecture Description Languages,05-architecture-description-languages,src/cornell-notes/architecture/standards/iso-iec-ieee-42010-2022/clauses/05-architecture-description-languages/05-04-04-architecture-description-languages-cornell-notes.tex,4dc834d13e138e8daf02b5d5a7bd950d24b0c1b50f4e4561751c4e8fba05157f,ISO-specific CNavy/CLight Cornell template,installed
06-01-architecture-description-identification-and-overview-cornell-notes.tex,06-01-architecture-description-identification-and-overview-cornell-notes.tex,1b4145701cff4efade02476887fb8a985b62284564dcdfef64f26aa37bdb8879,iso,06-01-architecture-description-identification-and-overview-cornell-notes.tex,Clause,06,06.01,Architecture Description Identification And Overview,06-architecture-description-identification-and-overview,src/cornell-notes/architecture/standards/iso-iec-ieee-42010-2022/clauses/06-architecture-description-identification-and-overview/06-01-architecture-description-identification-and-overview-cornell-notes.tex,e2eddd0992afc39b3493bcd98194130a36caf79e4dbf7545230bff2180d24d46,ISO-specific CNavy/CLight Cornell template,installed
06-02-identification-of-stakeholders-cornell-notes.tex,06-02-identification-of-stakeholders-cornell-notes.tex,de28060b7f2c408bda118906770ad1523352bc5b003b555a8d5fc2eb5a523307,iso,06-02-identification-of-stakeholders-cornell-notes.tex,Clause,06,06.02,Identification Of Stakeholders,06-identification-of-stakeholders,src/cornell-notes/architecture/standards/iso-iec-ieee-42010-2022/clauses/06-identification-of-stakeholders/06-02-identification-of-stakeholders-cornell-notes.tex,d19d2a302d17e3b34d815ab927a3aa88b3feec4ac50b5353f189fd5a39cf7e5f,ISO-specific CNavy/CLight Cornell template,installed
06-03-identification-of-stakeholder-perspectives-cornell-notes.tex,06-03-identification-of-stakeholder-perspectives-cornell-notes.tex,a72d6dbf1cfab3294749b886a57ebf29af1c3d3178366bae0b8f044df96ce0ea,iso,06-03-identification-of-stakeholder-perspectives-cornell-notes.tex,Clause,06,06.03,Identification Of Stakeholder Perspectives,06-identification-of-stakeholder-perspectives,src/cornell-notes/architecture/standards/iso-iec-ieee-42010-2022/clauses/06-identification-of-stakeholder-perspectives/06-03-identification-of-stakeholder-perspectives-cornell-notes.tex,d6d46e5c3ef8acb7169ae030e2056d34330784113cd93e0e6b3651abfa476a9c,ISO-specific CNavy/CLight Cornell template,installed
06-04-identification-of-concerns-cornell-notes.tex,06-04-identification-of-concerns-cornell-notes.tex,49be76bacce75fed2213de922b8574eecd265e4e2c039bb8fbf1512007b15316,iso,06-04-identification-of-concerns-cornell-notes.tex,Clause,06,06.04,Identification Of Concerns,06-identification-of-concerns,src/cornell-notes/architecture/standards/iso-iec-ieee-42010-2022/clauses/06-identification-of-concerns/06-04-identification-of-concerns-cornell-notes.tex,c78bd7e4915919ac59f54486b9dd179c1e23179847e9970f82a85842be037f80,ISO-specific CNavy/CLight Cornell template,installed
06-05-identification-of-aspects-cornell-notes.tex,06-05-identification-of-aspects-cornell-notes.tex,1c5334731b8bdc0d80717bdaf30a529e9031072f3e500d85ead89edd01c35e10,iso,06-05-identification-of-aspects-cornell-notes.tex,Clause,06,06.05,Identification Of Aspects,06-identification-of-aspects,src/cornell-notes/architecture/standards/iso-iec-ieee-42010-2022/clauses/06-identification-of-aspects/06-05-identification-of-aspects-cornell-notes.tex,e3e7d50d8c8c8dc4602e2a6d5b757bfb5342f2564b35608f2ef1d509e630f39c,ISO-specific CNavy/CLight Cornell template,installed
06-06-inclusion-of-architecture-viewpoints-cornell-notes.tex,06-06-inclusion-of-architecture-viewpoints-cornell-notes.tex,81045ed6aad04308c380e9810d12c8ad360d34781b6f6fe48ed81a1afc229b00,iso,06-06-inclusion-of-architecture-viewpoints-cornell-notes.tex,Clause,06,06.06,Inclusion Of Architecture Viewpoints,06-inclusion-of-architecture-viewpoints,src/cornell-notes/architecture/standards/iso-iec-ieee-42010-2022/clauses/06-inclusion-of-architecture-viewpoints/06-06-inclusion-of-architecture-viewpoints-cornell-notes.tex,1b54c6801d73dd8c7a3ab28ab67fd31af7bc772d4245dcfffacbacb947bdb9e4,ISO-specific CNavy/CLight Cornell template,installed
06-07-inclusion-of-architecture-views-cornell-notes.tex,06-07-inclusion-of-architecture-views-cornell-notes.tex,82b97fb062efe70aa23cfd1bebafb341eebdfa09c5faae0936abd4b124a7bc2a,iso,06-07-inclusion-of-architecture-views-cornell-notes.tex,Clause,06,06.07,Inclusion Of Architecture Views,06-inclusion-of-architecture-views,src/cornell-notes/architecture/standards/iso-iec-ieee-42010-2022/clauses/06-inclusion-of-architecture-views/06-07-inclusion-of-architecture-views-cornell-notes.tex,6dcd4b3e8606c8a7b65ede11429a426c886dfa364d9bd87b84294dbfdfa48f85,ISO-specific CNavy/CLight Cornell template,installed
06-08-inclusion-of-view-components-cornell-notes.tex,06-08-inclusion-of-view-components-cornell-notes.tex,411f03b69a8955226546f4d2d718217e04e5d959ff4d180bf3623959370db448,iso,06-08-inclusion-of-view-components-cornell-notes.tex,Clause,06,06.08,Inclusion Of View Components,06-inclusion-of-view-components,src/cornell-notes/architecture/standards/iso-iec-ieee-42010-2022/clauses/06-inclusion-of-view-components/06-08-inclusion-of-view-components-cornell-notes.tex,a8f93a4d72a9b8a41d8f42b0e27c898dcbba712d3316707ec879ef0d4494fef3,ISO-specific CNavy/CLight Cornell template,installed
